timestamp,type,word_text,entity_text,relevant,facet,word_id,pdf_term_id,entity_id,paper_id,page_number,user_id,_id
'2018-03-05T11:02:52','occurrence','related','related entity finding','irrelevant','method','w-1-0-0-271','4571811512','4569018832','conf_trec_BalogSV10','0','user_2','e25f6152-973d-4d23-b8da-c2a9cb29f0ef'
'2018-03-05T11:03:51','occurrence','clueweb','clueweb','irrelevant','method','w-1-0-0-342','4574586584','4571727576','conf_trec_BalogSV10','0','user_2','16991bf0-6f46-4ce5-8e0d-8b979fbb9387'
'2018-03-05T11:03:52','occurrence','clueweb','clueweb','relevant','dataset','w-1-0-0-342','4376549808','4370962584','conf_trec_BalogSV10','0','user_2','d6f9b98e-4c92-444b-b521-88787e838cc7'
'2018-03-05T11:04:16','occurrence','wikipedia','wikipedia','irrelevant','method','w-1-0-0-410','4574561896','4571726904','conf_trec_BalogSV10','0','user_2','d9749259-0e31-4bde-8191-e29c97b75e8f'
'2018-03-05T11:04:17','occurrence','wikipedia','wikipedia','relevant','dataset','w-1-0-0-410','4373776144','4370963424','conf_trec_BalogSV10','0','user_2','0c61e25c-6bc2-4137-9282-da1fba6edacc'
'2018-03-05T11:04:50','occurrence','linked','linked open data','relevant','method','w-1-0-0-511','4574537432','4571725896','conf_trec_BalogSV10','0','user_2','0f78efd8-65b6-4c44-820f-82b20011cb3d'
'2018-03-05T11:05:22','occurrence','uris','uris','irrelevant','method','w-1-0-0-581','4574538104','4571725952','conf_trec_BalogSV10','0','user_2','10d67b97-2ba6-4d52-8f3a-8b3864f11adb'
'2018-03-05T11:05:24','occurrence','uris','uris','irrelevant','dataset','w-1-0-0-581','4373844208','4370963536','conf_trec_BalogSV10','0','user_2','f16f0a30-c1c9-427b-ad41-5c454ea09bbd'
'2018-03-05T11:05:34','occurrence','semantic','semantic web crawl','irrelevant','method','w-1-0-0-584','4574539112','4571726400','conf_trec_BalogSV10','0','user_2','aa02dac4-bf75-4d1e-969a-2d21ad8a0043'
'2018-03-05T11:06:38','occurrence','fdwim','fdwim','irrelevant','dataset','w-1-0-7-128','4373775808','4370963368','conf_trec_BalogSV10','4','user_2','da7a76ec-6724-4fd4-8b8f-41ea8d3dce1a'
'2018-03-05T11:06:52','occurrence','hpi-group','hpi-group','irrelevant','dataset','w-1-0-7-254','4373774464','4370962976','conf_trec_BalogSV10','4','user_2','288e4c63-9efe-4fb0-a4bc-18a01ef45b8c'
'2018-03-05T11:06:57','occurrence','ictnet','ictnet','irrelevant','method','w-1-0-7-495','4571810056','4569018552','conf_trec_BalogSV10','4','user_2','092ab76f-68cb-400a-8237-a0d39108782b'
'2018-03-05T11:06:58','occurrence','ictnet','ictnet','irrelevant','dataset','w-1-0-7-495','4373845776','4370963816','conf_trec_BalogSV10','4','user_2','cb78a54f-16af-4fde-8065-1e9d6ef41bbf'
'2018-03-05T11:07:04','occurrence','urls','urls','irrelevant','method','w-1-0-7-602','4574560664','4571726456','conf_trec_BalogSV10','4','user_2','4e531bb1-0640-4ada-874f-069d788cf030'
'2018-03-05T11:07:06','occurrence','uapv','uapv','irrelevant','method','w-1-0-7-624','4574587816','4571727856','conf_trec_BalogSV10','4','user_2','eb49c6c8-eef9-4cf8-874f-64baa3e45f29'
'2018-03-05T11:07:13','occurrence','nict','nict','irrelevant','dataset','w-1-0-8-30','4373775024','4370963256','conf_trec_BalogSV10','5','user_2','75542b4e-aa1e-4531-82f7-a7edbac49584'
'2018-03-05T11:07:15','occurrence','pittsis','pittsis','irrelevant','dataset','w-1-0-8-140','4373774576','4370962864','conf_trec_BalogSV10','5','user_2','92fcee36-3356-41fa-a4cc-c07339aa2e29'
'2018-03-05T11:07:20','occurrence','pris','pris','irrelevant','method','w-1-0-8-232','4574584904','4571727464','conf_trec_BalogSV10','5','user_2','7388ac96-dd91-420a-a1d4-2608fdda8435'
'2018-03-05T11:07:22','occurrence','pris','pris','irrelevant','dataset','w-1-0-8-232','4373844992','4370963704','conf_trec_BalogSV10','5','user_2','9ac29b4f-e6d4-479d-a4a9-c105b4248984'
'2018-03-05T11:07:30','occurrence','bm25','bm25','irrelevant','dataset','w-1-0-8-292','4373774912','4370963032','conf_trec_BalogSV10','5','user_2','319229e4-6798-4e91-9123-8c686572a632'
'2018-03-05T11:07:34','occurrence','purdue','purdue','irrelevant','dataset','w-1-0-8-338','4376549248','4370961520','conf_trec_BalogSV10','5','user_2','41fa1c48-8bd4-4f0f-8e90-3675a260458c'
'2018-03-05T11:07:50','occurrence','freebase','freebase','irrelevant','method','w-1-0-8-602','4574561112','4571726624','conf_trec_BalogSV10','5','user_2','9202064b-8a23-4de2-9eb7-2524b8a7332a'
'2018-03-05T11:07:59','occurrence','uamsterdam','uamsterdam','irrelevant','method','w-1-0-8-653','4574538888','4571726176','conf_trec_BalogSV10','5','user_2','9e3f2111-45af-48ca-a800-0bbf3c5c4395'
'2018-03-05T11:08:00','occurrence','uamsterdam','uamsterdam','irrelevant','dataset','w-1-0-8-653','4376551264','4370962696','conf_trec_BalogSV10','5','user_2','ed612d5e-b0c9-44a8-bda6-c0db147ded12'
'2018-03-05T11:08:07','occurrence','uwaterlooeng','uwaterlooeng','irrelevant','dataset','w-1-0-9-72','4373775584','4370963312','conf_trec_BalogSV10','6','user_2','3add0a2b-ad12-42c4-9648-556a217b9fb2'
'2018-03-05T11:08:24','occurrence','realnames','realnames','relevant','method','w-1-0-9-517','4574561560','4571726680','conf_trec_BalogSV10','6','user_2','4dd6a0b4-83f8-42fc-8ae1-e74ddc66f6e7'
'2018-03-05T11:08:43','occurrence','dbpedia','dbpedia','irrelevant','method','w-1-0-9-660','4574608520','4569018888','conf_trec_BalogSV10','6','user_2','b419d07e-b21b-44bf-924f-5d728604ffb0'
'2018-03-05T11:08:49','occurrence','dbpedia','dbpedia','relevant','dataset','w-1-0-9-660','4376548296','4370993224','conf_trec_BalogSV10','6','user_2','5214f74f-d4a7-4ec5-9b12-7fe177ee877b'
'2018-03-05T11:09:04','occurrence','uiuc','uiuc','relevant','method','w-1-0-10-74','4574539336','4571726344','conf_trec_BalogSV10','7','user_2','ee04af72-1638-42b6-b1ea-bd1a0aaaf072'
'2018-03-05T11:09:11','occurrence','lbj-based','lbj-based','irrelevant','dataset','w-1-0-10-82','4376550144','4370962472','conf_trec_BalogSV10','7','user_2','9f092a7d-7f8a-425c-b8ed-aecdaec52deb'
'2018-03-05T11:09:20','occurrence','billion','billion triple challenge','irrelevant','method','w-1-0-10-220','4574587592','4571727520','conf_trec_BalogSV10','7','user_2','9c385b28-f443-4230-8749-149e21a25366'
'2018-03-05T11:09:23','occurrence','billion','billion triple challenge','relevant','dataset','w-1-0-10-220','4376549920','4371011344','conf_trec_BalogSV10','7','user_2','402f13e1-e7fe-4f00-987e-670c72052dff'
'2018-03-05T11:09:34','occurrence','graph','semantic web graph','relevant','method','w-1-0-10-259','4574561784','4571726736','conf_trec_BalogSV10','7','user_2','692f5a41-e8d4-4299-b260-d188b65b1346'
'2018-03-06T04:54:41','occurrence','named','named entity recognition','relevant','method','w-1-0-0-1','4580099464','4578093768','conf_trec_BellotCEGL02','0','user_3','16e37eee-6cb6-445c-acdf-a1dfe4ab0b76'
'2018-03-06T04:56:00','occurrence','model','vector space model','relevant','method','w-1-0-3-24','4578179336','4578092872','conf_trec_BellotCEGL02','0','user_3','3c0f4b19-e23a-468c-a81b-d6414d1925b1'
'2018-03-06T04:57:16','occurrence','trec-11','trec-11','relevant','dataset','w-1-0-0-11','4586226520','4583454200','conf_trec_BellotCEGL02','0','user_3','85c35788-f152-4843-bea7-6e4cc1c28a66'
'2018-03-06T04:57:42','occurrence','trec','trec','irrelevant','method','w-1-0-2-57','4578129400','4578091752','conf_trec_BellotCEGL02','0','user_3','58bc26ef-eeb4-4b21-a5cb-66064d95baec'
'2018-03-06T04:58:03','occurrence','siac','siac','relevant','dataset','w-1-0-3-64','4583488424','4583378784','conf_trec_BellotCEGL02','0','user_3','f5f16594-23da-4713-9556-41a9b877f2e6'
'2018-03-06T04:58:28','occurrence','siac','siac','relevant','method','w-1-0-3-64','4578180008','4578093208','conf_trec_BellotCEGL02','0','user_3','3d961643-78ee-4d89-b021-cba8e9816a49'
'2018-03-06T04:58:43','occurrence','question','question analysis','relevant','method','w-1-0-3-87','4578128896','4578091584','conf_trec_BellotCEGL02','0','user_3','ab82f325-b34d-48c3-a897-0a0c9e9671cd'
'2018-03-06T04:58:48','occurrence','have','question taggings have','relevant','method','w-1-0-3-93','4578178776','4578093096','conf_trec_BellotCEGL02','0','user_3','f2def824-291b-4b31-b53d-651cab16dad3'
'2018-03-06T04:59:02','occurrence','problem','question ordering problem','relevant','method','w-1-0-3-138','4578128672','4578091416','conf_trec_BellotCEGL02','0','user_3','203c94d4-cec1-4d99-b02b-a6cff6ed830a'
'2018-03-06T04:59:15','occurrence','task','question answering task','irrelevant','method','w-1-0-3-177','4580047728','4578091136','conf_trec_BellotCEGL02','0','user_3','0ad9a8cc-3dfc-42f1-ba06-4f84706dc7ca'
'2018-03-06T04:59:48','occurrence','currency','currency','irrelevant','dataset','w-1-0-4-125','4586226184','4583411896','conf_trec_BellotCEGL02','0','user_3','13ccb228-408a-44b8-858b-69e6073b4e90'
'2018-03-06T05:00:40','occurrence','name','name','irrelevant','method','w-1-0-4-121','4580100696','4578094104','conf_trec_BellotCEGL02','0','user_3','4c74a0f3-fa88-4820-bfc8-1fb9da18c91d'
'2018-03-06T05:04:38','occurrence','anaphora','pronominal anaphora is','relevant','method','w-1-0-6-77','4578178104','4578092480','conf_trec_BellotCEGL02','1','user_3','843a5890-c595-4d16-a9cb-16c2459ef396'
'2018-03-06T05:05:32','occurrence','trec-10','trec-10','relevant','dataset','w-1-0-11-375','4583486296','4583378000','conf_trec_BellotCEGL02','2','user_3','0c2e83b7-1872-4275-9821-144adaeff5e9'
'2018-03-06T05:05:35','occurrence','trec-9','trec-9','irrelevant','method','w-1-0-11-373','4578129960','4578091976','conf_trec_BellotCEGL02','2','user_3','7866d5c3-5480-44f8-b94a-0e1f876bba2b'
'2018-03-06T05:09:41','occurrence','expression','regular expression','relevant','method','w-1-0-12-471','4578177208','4575315392','conf_trec_BellotCEGL02','2','user_3','99fa75d0-153d-4825-ad23-b9ad95cfc2af'
'2018-03-06T05:11:41','occurrence','trec-8','trec-8','irrelevant','method','w-1-0-18-138','4580099352','4578093712','conf_trec_BellotCEGL02','4','user_3','e190f05d-84fa-4396-807a-d5de2c71767e'
'2018-03-06T05:12:31','occurrence','bird','bird','irrelevant','method','w-1-0-18-284','4578178664','4578092704','conf_trec_BellotCEGL02','4','user_3','98dce1ab-f2db-40c2-ad9b-1c7271eed987'
'2018-03-06T05:13:27','occurrence','country','country','irrelevant','dataset','w-1-0-22-425','4583489432','4583378896','conf_trec_BellotCEGL02','5','user_3','4ba614b3-1528-444d-90ac-ee44d8d069c9'
'2018-03-06T05:13:29','occurrence','county','county','irrelevant','dataset','w-1-0-22-427','4583487304','4583378224','conf_trec_BellotCEGL02','5','user_3','f3160a74-9aa9-4952-b4a9-906a5bd5c966'
'2018-03-06T05:14:19','occurrence','expected','expected answer types','relevant','method','w-1-0-29-29','4580098456','4578093320','conf_trec_BellotCEGL02','8','user_3','a3c6d2e9-ad24-43c1-b9e0-ebe0a5ba5d0a'
'2018-03-06T05:35:37','occurrence','total','total recall track','relevant','method','w-1-0-0-5','4434131600','4417193016','conf_trec_LoseySR15','0','user_4','d2f94440-4ba3-4117-8c95-85cfeb1ad047'
'2018-03-06T05:36:28','occurrence','sullivan','sullivan','relevant','dataset','w-1-0-0-13','4465902536','4462520640','conf_trec_LoseySR15','0','user_4','c8ad65d5-eab0-4051-a292-d511a3c1c9e0'
'2018-03-06T05:36:33','occurrence','sullivan','sullivan','irrelevant','method','w-1-0-0-13','4434177104','4417193632','conf_trec_LoseySR15','0','user_4','ed557f31-15a4-4438-bb9e-b0c9efdd4844'
'2018-03-06T05:36:36','occurrence','losey','losey','relevant','dataset','w-1-0-0-11','4465648584','4462520920','conf_trec_LoseySR15','0','user_4','b7830130-6282-400d-a6e8-c63d8f1df5c7'
'2018-03-06T05:36:43','occurrence','trec','trec','irrelevant','method','w-1-0-0-64','4417699624','4417195872','conf_trec_LoseySR15','0','user_4','10ac92b3-cb95-43f5-9501-638a78bd1406'
'2018-03-06T05:36:44','occurrence','trec','trec','relevant','dataset','w-1-0-0-64','4465807656','4462521200','conf_trec_LoseySR15','0','user_4','459edb51-1920-4306-a5a9-b558bf18db90'
'2018-03-06T05:36:54','occurrence','multimodal','multimodal','irrelevant','dataset','w-1-0-0-157','4482253656','4462521256','conf_trec_LoseySR15','0','user_4','97266a9e-238c-4c34-92ca-9098ef03e937'
'2018-03-06T05:36:59','occurrence','hybrid','hybrid multimodal method','relevant','method','w-1-0-0-197','4417764544','4417233360','conf_trec_LoseySR15','0','user_4','54d15465-3b6a-4439-aa70-e660d9c42078'
'2018-03-06T05:37:05','occurrence','recall','recall track topics','relevant','method','w-1-0-0-334','4417791424','4417192512','conf_trec_LoseySR15','0','user_4','d7eff5a8-0d42-4c25-bdf3-0ce1f31854f0'
'2018-03-06T05:37:11','occurrence','athome','athome','relevant','dataset','w-1-0-0-339','4465775672','4462521032','conf_trec_LoseySR15','0','user_4','e8d30774-839a-4682-af97-937f6b67aa5a'
'2018-03-06T05:37:15','occurrence','athome','athome','irrelevant','method','w-1-0-0-339','4434082840','4417183816','conf_trec_LoseySR15','0','user_4','9e893507-ac29-4bc8-bdc6-585c17dce9ef'
'2018-03-06T05:37:29','occurrence','sandbox','sandbox','relevant','dataset','w-1-0-1-7','4465585736','4462520696','conf_trec_LoseySR15','1','user_4','23bd24cb-80d4-4b6c-85bf-f6518630060d'
'2018-03-06T05:37:31','occurrence','sandbox','sandbox','irrelevant','method','w-1-0-1-7','4434362776','4417187736','conf_trec_LoseySR15','1','user_4','32b75830-fefa-4c6c-9a44-bdcb7ea54d32'
'2018-03-06T05:37:42','occurrence','florida','florida','irrelevant','method','w-1-0-2-609','4434174976','4417234256','conf_trec_LoseySR15','2','user_4','f20988f2-0656-4cc4-8582-74b918b4375a'
'2018-03-06T05:37:51','occurrence','bush','bush','relevant','dataset','w-1-0-3-26','4465628440','4462520864','conf_trec_LoseySR15','3','user_4','70041f33-d35b-48d1-96d1-02ebc381a10c'
'2018-03-06T05:37:59','occurrence','topics','athome topics searched','irrelevant','method','w-1-0-3-33','4417561936','4417185776','conf_trec_LoseySR15','3','user_4','12028c62-38fa-4e84-993e-91a47408fc76'
